color,Lessons become less boring,Communication is appropriate despite the interventions of the asYesstant robot,The fluency of the robot and the teacher is ideal,The robot is at least attractive when transmitting information with the teacher,The interaction of the robots is suitable for a rigorous and entertaining class
Not.defined,Yes,Sometines,Sometines,Sometines,Sometines
Not.defined,Sometines,No,Sometines,Sometines,Sometines
Not.defined,No,Sometines,Yes,Sometines,Sometines
Not.defined,Sometines,Yes,Sometines,No,Sometines
Not.defined,Yes,Yes,Sometines,No,Sometines
Explorer,Sometines,Sometines,Sometines,Yes,Sometines
Socializer,Sometines,Sometines,Sometines,Yes,Sometines
Achiever,Sometines,Sometines,Sometines,Yes,Sometines
Explorer,Sometines,Sometines,Sometines,Yes,Sometines
Explorer,No,Sometines,Sometines,Yes,Sometines
Explorer,Yes,Sometines,Sometines,Yes,Sometines
Explorer,Yes,Sometines,Sometines,Yes,Sometines
Explorer,No,Yes,Sometines,Yes,Sometines
Explorer,Sometines,Yes,No,Yes,Sometines
Explorer,Sometines,Sometines,Yes,Yes,Sometines
Explorer,Yes,Sometines,Yes,Yes,Sometines
Explorer,Sometines,No,Yes,Yes,Sometines
Explorer,No,No,Yes,Yes,Sometines
Explorer,No,Yes,Yes,Yes,Sometines
Explorer,Yes,Yes,Yes,Yes,Sometines
Explorer,Yes,Yes,Yes,Yes,Sometines
Explorer,Yes,Yes,Yes,Yes,Sometines
Explorer,Sometines,Yes,Yes,Sometines,No
Explorer,Sometines,Sometines,Yes,No,No
Explorer,No,Sometines,Yes,No,No
Explorer,Sometines,Sometines,No,Yes,No
Explorer,Yes,No,No,Yes,No
Explorer,Yes,Yes,No,Yes,No
Explorer,Sometines,Yes,Sometines,Sometines,Yes
Explorer,Yes,Yes,Sometines,Sometines,Yes
Explorer,Yes,Yes,Yes,Sometines,Yes
Explorer,Yes,Yes,Yes,Sometines,Yes
Explorer,Yes,Sometines,Sometines,No,Yes
Explorer,Yes,Yes,Sometines,No,Yes
Explorer,Yes,Sometines,Yes,No,Yes
Explorer,Yes,Sometines,Yes,No,Yes
Explorer,Sometines,Yes,Yes,No,Yes
Explorer,Yes,Yes,Yes,No,Yes
Explorer,Yes,Yes,Yes,No,Yes
Explorer,Yes,Yes,Yes,No,Yes
Explorer,Yes,Yes,Yes,No,Yes
Explorer,Yes,Yes,Yes,No,Yes
Explorer,Yes,Yes,Yes,No,Yes
Explorer,Yes,Yes,Yes,No,Yes
Explorer,Sometines,Sometines,Sometines,Yes,Yes
Explorer,Sometines,Sometines,Sometines,Yes,Yes
Explorer,Yes,Sometines,Sometines,Yes,Yes
Explorer,Yes,Sometines,Sometines,Yes,Yes
Explorer,Yes,Sometines,Sometines,Yes,Yes
Explorer,Yes,Sometines,Sometines,Yes,Yes
Explorer,Yes,Sometines,Sometines,Yes,Yes
Explorer,Yes,No,Sometines,Yes,Yes
Explorer,Sometines,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Yes,Yes,Sometines,Yes,Yes
Explorer,Sometines,Sometines,Yes,Yes,Yes
Explorer,Yes,Sometines,Yes,Yes,Yes
Explorer,Yes,Sometines,Yes,Yes,Yes
Explorer,Yes,Sometines,Yes,Yes,Yes
Explorer,Yes,Sometines,Yes,Yes,Yes
Explorer,Yes,Sometines,Yes,Yes,Yes
Explorer,Yes,Sometines,Yes,Yes,Yes
Explorer,Sometines,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Explorer,Yes,Yes,Yes,Yes,Yes
Socializer,Yes,Yes,Yes,Yes,Yes
Socializer,Sometines,Yes,Yes,Yes,Yes
